kanwil,nama_upt
Sulawesi Selatan,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II MAROS
Sulawesi Selatan,RUTAN KELAS I UJUNG PANDANG
Sulawesi Selatan,RUTAN KELAS IIB BANTAENG
Sulawesi Selatan,RUTAN KELAS IIB BARRU
Sulawesi Selatan,RUTAN KELAS IIB ENREKANG
Sulawesi Selatan,RUTAN KELAS IIB JENEPONTO
Sulawesi Selatan,RUTAN KELAS IIB MAKALE
Sulawesi Selatan,RUTAN KELAS IIB MALINO
Sulawesi Selatan,RUTAN KELAS IIB MASAMBA
Sulawesi Selatan,RUTAN KELAS IIB PANGKAJENE
Sulawesi Selatan,RUTAN KELAS IIB PINRANG
Sulawesi Selatan,RUTAN KELAS IIB SELAYAR
Sulawesi Selatan,RUTAN KELAS IIB SENGKANG
Sulawesi Selatan,RUTAN KELAS IIB SIDENRENG RAPANG
Sulawesi Selatan,RUTAN KELAS IIB SINJAI
Sulawesi Selatan,RUTAN KELAS IIB WATANSOPPENG
Sulawesi Tengah,BAPAS KELAS I PALU
Sulawesi Tengah,BAPAS KELAS II LUWUK
Sulawesi Tengah,LAPAS KELAS IIA PALU
Sulawesi Tengah,LAPAS KELAS IIB AMPANA
Sulawesi Tengah,LAPAS KELAS IIB LUWUK
Sulawesi Tengah,LAPAS KELAS IIB TOLI-TOLI
Sulawesi Tengah,LAPAS KELAS III KOLONEDALE
Sulawesi Tengah,LAPAS KELAS III LEOK
Sulawesi Tengah,LAPAS KELAS III PARIGI
Sulawesi Tengah,LAPAS PEREMPUAN KELAS III PALU
Sulawesi Tengah,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PALU
Sulawesi Tengah,RUTAN KELAS IIA PALU
Sulawesi Tengah,RUTAN KELAS IIB DONGGALA
Sulawesi Tengah,RUTAN KELAS IIB POSO
Sulawesi Tenggara,BAPAS KELAS II BAU-BAU
Sulawesi Tenggara,BAPAS KELAS II KENDARI
Sulawesi Tenggara,LAPAS KELAS IIA BAU-BAU
Sulawesi Tenggara,LAPAS KELAS IIA KENDARI
Sulawesi Tenggara,LAPAS PEREMPUAN KELAS III KENDARI
Sulawesi Tenggara,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II KENDARI
Sulawesi Tenggara,RUTAN KELAS IIA KENDARI
Sulawesi Tenggara,RUTAN KELAS IIB KOLAKA
Sulawesi Tenggara,RUTAN KELAS IIB RAHA
Sulawesi Tenggara,RUTAN KELAS IIB UNAAHA
Sulawesi Utara,BAPAS KELAS II MANADO
Sulawesi Utara,LAPAS KELAS IIA MANADO
Sulawesi Utara,LAPAS KELAS IIB BITUNG
Sulawesi Utara,LAPAS KELAS IIB TAHUNA
Sulawesi Utara,LAPAS KELAS IIB TONDANO
Sulawesi Utara,LAPAS KELAS IIB ULU SIAU
Sulawesi Utara,LAPAS KELAS III AMURANG
Sulawesi Utara,LAPAS KELAS III ENEMAWIRA
Sulawesi Utara,LAPAS KELAS III LIRUNG
Sulawesi Utara,LAPAS KELAS III TAGULANDANG
Sulawesi Utara,LAPAS KELAS III TAMAKO
Sulawesi Utara,LAPAS PEREMPUAN KELAS IIB MANADO
Sulawesi Utara,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TOMOHON
Sulawesi Utara,RUTAN KELAS IIA MANADO
Sulawesi Utara,RUTAN KELAS IIB KOTAMOBAGU
Sumatera Barat,BAPAS KELAS II PADANG
Sumatera Barat,LAPAS KELAS IIA BUKITTINGGI
Sumatera Barat,LAPAS KELAS IIA BUKITTINGGI
Sumatera Barat,LAPAS KELAS IIA PADANG
Sumatera Barat,LAPAS KELAS IIB LUBUK BASUNG
Sumatera Barat,LAPAS KELAS IIB MUARA SIJUNJUNG
Sumatera Barat,LAPAS KELAS IIB PARIAMAN
Sumatera Barat,LAPAS KELAS IIB SOLOK
Sumatera Barat,LAPAS KELAS IIB TANJUNG PATI
Sumatera Barat,LAPAS KELAS IIB TERBUKA PASAMAN
Sumatera Barat,LAPAS KELAS III ALAHAN PANJANG
Sumatera Barat,LAPAS KELAS III DHARMASRAYA
Sumatera Barat,LAPAS KELAS III SULIKI
Sumatera Barat,LAPAS KELAS III TALU
Sumatera Barat,LAPAS NARKOTIKA KELAS III SAWAHLUNTO
Sumatera Barat,LAPAS PEREMPUAN KELAS IIB PADANG
Sumatera Barat,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II PAYAKUMBUH
Sumatera Barat,RUTAN KELAS IIB BATUSANGKAR
Sumatera Barat,RUTAN KELAS IIB LUBUK SIKAPING
Sumatera Barat,RUTAN KELAS IIB MANINJAU
Sumatera Barat,RUTAN KELAS IIB MUARA LABUH
Sumatera Barat,RUTAN KELAS IIB PADANG
Sumatera Barat,RUTAN KELAS IIB PADANG PANJANG
Sumatera Barat,RUTAN KELAS IIB PAINAN
Sumatera Barat,RUTAN KELAS IIB SAWAHLUNTO
Sumatera Selatan,BAPAS KELAS I PALEMBANG
Sumatera Selatan,BAPAS KELAS II LAHAT
Sumatera Selatan,BAPAS KELAS II MUSI RAWAS UTARA
Sumatera Selatan,BAPAS KELAS II OKU INDUK
Sumatera Selatan,LAPAS KELAS I PALEMBANG
Sumatera Selatan,LAPAS KELAS IIA BANYUASIN
Sumatera Selatan,LAPAS KELAS IIA LAHAT
Sumatera Selatan,LAPAS KELAS IIA LUBUK LINGGAU
Sumatera Selatan,LAPAS KELAS IIA PEREMPUAN PALEMBANG
Sumatera Selatan,LAPAS KELAS IIA TANJUNG RAJA
Sumatera Selatan,LAPAS KELAS IIB EMPAT LAWANG
Sumatera Selatan,LAPAS KELAS IIB KAYU AGUNG
Sumatera Selatan,LAPAS KELAS IIB MARTAPURA
Sumatera Selatan,LAPAS KELAS IIB MUARA DUA
Sumatera Selatan,LAPAS KELAS IIB MUARA ENIM
Sumatera Selatan,LAPAS KELAS IIB SEKAYU
Sumatera Selatan,LAPAS KELAS III PAGAR ALAM
Sumatera Selatan,LAPAS KELAS III SAROLANGUN RAWAS
Sumatera Selatan,LAPAS NARKOTIKA KELAS IIA MUARA BELITI
Sumatera Selatan,LAPAS NARKOTIKA KELAS IIB BANYUASIN
Sumatera Selatan,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I PALEMBANG
Sumatera Selatan,RUTAN KELAS I PALEMBANG
Sumatera Selatan,RUTAN KELAS IIB BATURAJA
Sumatera Selatan,RUTAN KELAS IIB PRABUMULIH
Sumatera Utara,BAPAS KELAS II SIBOLGA
Sumatera Utara,LAPAS KELAS I MEDAN
Sumatera Utara,LAPAS KELAS IIA BINJAI
Sumatera Utara,LAPAS KELAS IIA LABUHAN RUKU
Sumatera Utara,LAPAS KELAS IIA NARKOTIKA PEMATANG SIANTAR
Sumatera Utara,LAPAS KELAS IIA PANCUR BATU
Sumatera Utara,LAPAS KELAS IIA PEMATANG SIANTAR
Sumatera Utara,LAPAS KELAS IIA PEREMPUAN MEDAN
Sumatera Utara,LAPAS KELAS IIA RANTAU PRAPAT
Sumatera Utara,LAPAS KELAS IIA SIBOLGA
Sumatera Utara,LAPAS KELAS IIB GUNUNG SITOLI
Sumatera Utara,LAPAS KELAS IIB LUBUK PAKAM
Sumatera Utara,LAPAS KELAS IIB PADANG SIDEMPUAN
Sumatera Utara,LAPAS KELAS IIB PANYABUNGAN
Sumatera Utara,LAPAS KELAS IIB SIBORONG-BORONG
Sumatera Utara,LAPAS KELAS IIB TANJUNG BALAI ASAHAN
Sumatera Utara,LAPAS KELAS IIB TEBING TINGGI DELI
Sumatera Utara,LAPAS KELAS III BARUS
Sumatera Utara,LAPAS KELAS III GUNUNG TUA
Sumatera Utara,LAPAS KELAS III KOTA PINANG
Sumatera Utara,LAPAS KELAS III KOTANOPAN
Sumatera Utara,LAPAS KELAS III LABUAN BILIK
Sumatera Utara,LAPAS KELAS III PANGURURAN
Sumatera Utara,LAPAS KELAS III TELUK DALAM
Sumatera Utara,LAPAS NARKOTIKA KELAS IIA LANGKAT
Sumatera Utara,LAPAS PEMUDA KELAS III LANGKAT
Sumatera Utara,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I MEDAN
Sumatera Utara,RUTAN KELAS I LABUHAN DELI
Sumatera Utara,RUTAN KELAS I MEDAN
Sumatera Utara,RUTAN KELAS IIB BALIGE
Sumatera Utara,RUTAN KELAS IIB HUMBANG HASUNDUTAN
Sumatera Utara,RUTAN KELAS IIB KABANJAHE
Sumatera Utara,RUTAN KELAS IIB NATAL
Sumatera Utara,RUTAN KELAS IIB PANGKALAN BRANDAN
Sumatera Utara,RUTAN KELAS IIB SIBUHUAN
Sumatera Utara,RUTAN KELAS IIB SIDIKALANG
Sumatera Utara,RUTAN KELAS IIB SIPIROK
Sumatera Utara,RUTAN KELAS IIB TANJUNG PURA
Sumatera Utara,RUTAN KELAS IIB TARUTUNG
Sumatera Utara,RUTAN PEREMPUAN KELAS II A MEDAN
