kanwil,nama_upt
Jawa Barat,LAPAS KELAS IIA BANCEUY BANDUNG
Jawa Barat,LAPAS KELAS IIA BEKASI
Jawa Barat,LAPAS KELAS IIA BOGOR
Jawa Barat,LAPAS KELAS IIA CIBINONG
Jawa Barat,LAPAS KELAS IIA CIKARANG
Jawa Barat,LAPAS KELAS IIA GARUT
Jawa Barat,LAPAS KELAS IIA KARAWANG
Jawa Barat,LAPAS KELAS IIA KUNINGAN
Jawa Barat,LAPAS KELAS IIA NARKOTIKA BANDUNG
Jawa Barat,LAPAS KELAS IIA NARKOTIKA CIREBON
Jawa Barat,LAPAS KELAS IIA PEREMPUAN BANDUNG
Jawa Barat,LAPAS KELAS IIA SUBANG
Jawa Barat,LAPAS KELAS IIA WARUNG KIARA
Jawa Barat,LAPAS KELAS IIB BANJAR
Jawa Barat,LAPAS KELAS IIB CIAMIS
Jawa Barat,LAPAS KELAS IIB CIANJUR
Jawa Barat,LAPAS KELAS IIB INDRAMAYU
Jawa Barat,LAPAS KELAS IIB MAJALENGKA
Jawa Barat,LAPAS KELAS IIB PURWAKARTA
Jawa Barat,LAPAS KELAS IIB SUKABUMI
Jawa Barat,LAPAS KELAS IIB SUMEDANG
Jawa Barat,LAPAS KELAS IIB TASIKMALAYA
Jawa Barat,LAPAS KHUSUS KELAS IIA GUNUNG SINDUR
Jawa Barat,LAPAS KHUSUS KELAS IIB SENTUL
Jawa Barat,LAPAS NARKOTIKA KELAS IIA GUNUNG SINDUR
Jawa Barat,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDUNG
Jawa Barat,RUTAN KELAS I BANDUNG
Jawa Barat,RUTAN KELAS I CIREBON
Jawa Barat,RUTAN KELAS I DEPOK
Jawa Barat,RUTAN KELAS IIB GARUT
Jawa Barat,RUTAN PEREMPUAN KELAS II A BANDUNG
Jawa Tengah,BAPAS KELAS I SEMARANG
Jawa Tengah,BAPAS KELAS I SURAKARTA
Jawa Tengah,BAPAS KELAS II KLATEN
Jawa Tengah,BAPAS KELAS II MAGELANG
Jawa Tengah,BAPAS KELAS II NUSAKAMBANGAN
Jawa Tengah,BAPAS KELAS II PATI
Jawa Tengah,BAPAS KELAS II PURWOKERTO
Jawa Tengah,LAPAS KELAS I BATU NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS I SEMARANG
Jawa Tengah,LAPAS KELAS IIA AMBARAWA
Jawa Tengah,LAPAS KELAS IIA BESI NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA GLADAKAN NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA KEMBANG KUNING NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA KENDAL
Jawa Tengah,LAPAS KELAS IIA KUMBANG NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA MAGELANG
Jawa Tengah,LAPAS KELAS IIA NARKOTIKA NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA NGASEMAN NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA PASIR PUTIH NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA PEKALONGAN
Jawa Tengah,LAPAS KELAS IIA PEREMPUAN SEMARANG
Jawa Tengah,LAPAS KELAS IIA PERMISAN NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIA PURWOKERTO
Jawa Tengah,LAPAS KELAS IIA SRAGEN
Jawa Tengah,LAPAS KELAS IIB BATANG
Jawa Tengah,LAPAS KELAS IIB BREBES
Jawa Tengah,LAPAS KELAS IIB CILACAP
Jawa Tengah,LAPAS KELAS IIB KLATEN
Jawa Tengah,LAPAS KELAS IIB NIRBAYA NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIB PATI
Jawa Tengah,LAPAS KELAS IIB PEMUDA PLANTUNGAN
Jawa Tengah,LAPAS KELAS IIB PURWODADI
Jawa Tengah,LAPAS KELAS IIB SLAWI
Jawa Tengah,LAPAS KELAS IIB TEGAL
Jawa Tengah,LAPAS KELAS IIB TERBUKA KENDAL
Jawa Tengah,LAPAS KELAS IIB TERBUKA NUSAKAMBANGAN
Jawa Tengah,LAPAS KELAS IIB WONOGIRI
Jawa Tengah,LAPAS KHUSUS KELAS IIA KARANGANYAR
Jawa Tengah,LAPAS NARKOTIKA KELAS IIB PURWOKERTO
Jawa Tengah,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I KUTOARJO
Jawa Tengah,RUTAN KELAS I SEMARANG
Jawa Tengah,RUTAN KELAS I SURAKARTA
Jawa Tengah,RUTAN KELAS IIA PEKALONGAN
